pair_leg_1,pair_leg_2,leg1_game_pk,leg2_game_pk,pair_type,leg1_prob,leg2_prob,base_combo_prob,learned_multiplier,combo_prob,leg1_odds_american,leg2_odds_american,parlay_decimal,parlay_ev,training_days_used
Rafael Flores Jr.,Bryce Eldridge,823518,824083,cross_game,0.17380423552442342,0.14489335385640023,0.02518307859958141,0.48999999999999994,0.01233970851379489,,,,,1
Victor Mesa Jr.,Willson Contreras,822784,824732,cross_game,0.17618068742880014,0.14292622600371158,0.025180840748937956,0.48999999999999994,0.012338611966979596,,,,,1
Hunter Goodman,Riley Greene,824327,824650,cross_game,0.1739225091478534,0.14473875770017736,0.025173327910158035,0.48999999999999994,0.012334930675977435,,,,,1
Wilyer Abreu,Colton Cowser,824735,824732,cross_game,0.16575608240934592,0.15184330501299864,0.02516895137904205,0.48999999999999994,0.012332786175730602,,,,,1
Wilyer Abreu,Justin Foscue,824735,822873,cross_game,0.16575608240934592,0.15184220764508086,0.02516876948363504,0.48999999999999994,0.012332697046981167,,,,,1
Rafael Flores Jr.,Riley Greene,823518,824650,cross_game,0.17380423552442342,0.14473875770017736,0.02515620913283408,0.48999999999999994,0.012326542475088697,,,,,1
Christian Encarnacion-Strand,Colton Cowser,824732,824732,same_game,0.16565780602458946,0.15184330501299864,0.0251540287679759,0.48999999999999994,0.01232547409630819,,,,,1
Christian Encarnacion-Strand,Justin Foscue,824732,822873,cross_game,0.16565780602458946,0.15184220764508086,0.02515384698041424,0.48999999999999994,0.012325385020402976,,,,,1
Amed Rosario,Heriberto Hernández,823518,824166,cross_game,0.16196954244956968,0.15501281799454286,0.02510735520439453,0.48999999999999994,0.012302604050153319,,,,,1
Jazz Chisholm Jr.,Colton Cowser,823518,824732,cross_game,0.1652568983272693,0.15184330501299864,0.025093153618209657,0.48999999999999994,0.01229564527292273,,,,,1
Jazz Chisholm Jr.,Justin Foscue,823518,822873,cross_game,0.1652568983272693,0.15184220764508086,0.025092972270591242,0.48999999999999994,0.012295556412589706,,,,,1
Amed Rosario,Esmerlyn Valdez,823518,823519,cross_game,0.16196954244956968,0.15481230918638839,0.02507487888448064,0.48999999999999994,0.012286690653395512,,,,,1
Kyle Schwarber,Willy Adames,823438,824083,cross_game,0.16927974674858862,0.14811196456769748,0.02507235585245576,0.48999999999999994,0.01228545436770332,,,,,1
Victor Mesa Jr.,Manny Machado,822784,824896,cross_game,0.17618068742880014,0.14196672215805994,0.025011794701820474,0.48999999999999994,0.01225577940389203,,,,,1
